rank,stadium,capacity,region,country,city,images,home_team,location
26,Estadio Monumental,80093,South America,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/EstadioUniversitario.jpg/150px-EstadioUniversitario.jpg,Club Universitario de Deportes,"[-11.7846769, -75.4872501]"
27,Stadio Giuseppe Meazza,80018,Europe,Italy,"Milan, Lombardy",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Stadio_Giuseppe_Meazza%2C_San_Siro%2C_Milan_%283326869632%29.jpg/150px-Stadio_Giuseppe_Meazza%2C_San_Siro%2C_Milan_%283326869632%29.jpg,AC Milan and Internazionale,"[45.475925, 9.128359]"
28,Guangdong Olympic Stadium,80012,East Asia,China,"Guangzhou, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Stade_Olympique_Guangdong.JPG/150px-Stade_Olympique_Guangdong.JPG,,"[29.1488, 106.21889]"
29,Hangzhou Olympic Sports Expo Centre Stadium,80000,East Asia,China,"Hangzhou, Zhejiang",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Hangzhou_Olympic_Sports_Center_Stadium2021.jpg/150px-Hangzhou_Olympic_Sports_Center_Stadium2021.jpg,,"[36.567348398, 103.930027033]"
30,AT&T Stadium,80000,North America,United States,"Arlington, Texas",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Cowboys_Stadium_full_view.jpg/150px-Cowboys_Stadium_full_view.jpg,"Dallas Cowboys, FC Dallas","[32.747337, -97.09462]"
31,Stade des Martyrs,80000,Africa,DR Congo,Kinshasa,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Stade_des_martyrs_0332_Kinshasa_%288756673901%29.jpg/150px-Stade_des_martyrs_0332_Kinshasa_%288756673901%29.jpg,Congo DR national football team,"[-4.3314086, 15.3123369]"
32,Stade Tata Raphaël,80000,Africa,DR Congo,Kinshasa,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"AS Vita Club, DC Motema Pembe","[-4.3382, 15.32241]"
33,National Sports Stadium,80000,Africa,Zimbabwe,Harare,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Zimbabwe national football team,"[-17.8204856, 30.9940489]"
34,Moi International Sports Centre,80000,Africa,Kenya,Nairobi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Inside_the_Kasarani_Stadium.jpg/150px-Inside_the_Kasarani_Stadium.jpg,Kenya national football team,"[-1.22728, 36.90548]"
35,Beijing National Stadium,80000,East Asia,China,Beijing,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Beijing_National_Stadium_2014_2.jpg/150px-Beijing_National_Stadium_2014_2.jpg,,"[39.99142, 116.39005]"
36,Stade Léopold Sédar Senghor,80000,Africa,Senegal,Dakar,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Senegal_1_-_Cameroon_0_-_Stade_L%C3%A9opold_S%C3%A9dar_Senghor.jpg/150px-Senegal_1_-_Cameroon_0_-_Stade_L%C3%A9opold_S%C3%A9dar_Senghor.jpg,"Senegal national football team, ASC Jeanne d'Arc","[14.7467041, -17.4536133]"
37,Maracanã,78838,South America,Brazil,"Rio de Janeiro, Rio de Janeiro",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Bosnia_players_at_Maracan%C3%A3_15_June_2014.jpg/150px-Bosnia_players_at_Maracan%C3%A3_15_June_2014.jpg,"CR Flamengo, Fluminense FC, Botafogo FR, CR Vasco da Gama","[-0.762908, -47.4577118]"
38,Los Angeles Memorial Coliseum,78467,North America,United States,"Los Angeles, California",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/USC_vs_University_of_Oregon_November_2019.png/150px-USC_vs_University_of_Oregon_November_2019.png,USC Trojans,"[34.014014, -118.283278]"
39,Azadi Stadium,78116,West Asia,Iran,Tehran,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Azadi_Stadium_%287%29.jpg/150px-Azadi_Stadium_%287%29.jpg,"Iran national football team, Esteghlal FC, Persepolis FC","[36.84072, 54.43701]"
40,Stadion Utama Gelora Bung Karno,77193,Southeast Asia,Indonesia,Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Gbk_persija_arema_20190803.jpg/150px-Gbk_persija_arema_20190803.jpg,"Indonesia national football team,","[-0.0348254, 109.3463382]"
41,Caesar's Superdome,76468,North America,United States,"New Orleans, Louisiana",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/The_Dome_New_Orleans_Man_Trip.jpg/150px-The_Dome_New_Orleans_Man_Trip.jpg,"New Orleans Saints, Sugar Bowl","[29.9515066, -90.0821665]"
